function,code ,icon_url ,pdf_icon_url,function_des
aqua_test,aqua_test,/pdf/images/products/function_icons/aquatest.jpg,/products/function_icons/aquatest.jpg,Aqua Test
aux_oven,aux_oven,/pdf/images/products/function_icons/no image.jpg,/products/function_icons/no image.jpg,Aux Oven
bakers_+_microwave,bakers_+_microwave,/pdf/images/products/function_icons/bakers microwave.jpg,/products/function_icons/bakers microwave.jpg,Bakers Microwave
bakers_microwave,bakers_microwave,/pdf/images/products/function_icons/bakers microwave.jpg,/products/function_icons/bakers microwave.jpg,Bakers Microwave
bakers_function,bakers_function,/pdf/images/products/function_icons/bakers function.jpg,/products/function_icons/bakers function.jpg,Bakers Function
base_heat,base_heat,/pdf/images/products/function_icons/base heat.jpg,/products/function_icons/base heat.jpg,Base Heat
cleaning_functions,cleaning_functions,/pdf/images/products/function_icons/no image.jpg,/products/function_icons/no image.jpg,Cleaning Functions
convection,convection,/pdf/images/products/function_icons/convection.jpg,/products/function_icons/convection.jpg,Convection
defrost,defrost,/pdf/images/products/function_icons/defrost.jpg,/products/function_icons/defrost.jpg,Defrost
defrost_by_time,defrost_by_time,/pdf/images/products/function_icons/defrost by time.jpg,/products/function_icons/defrost by time.jpg,Defrost By Time
defrost_by_weight,defrost_by_weight,/pdf/images/products/function_icons/defrost by weight.jpg,/products/function_icons/defrost by weight.jpg,Defrost By Weight
defrost_proofing_dehydrate_warming,defrost_proofing_dehydrate_warming,/pdf/images/products/function_icons/defrost proofing dehydrate warming.jpg,/products/function_icons/defrost proofing dehydrate warming.jpg,Defrost Proofing Dehydrate Warming
delay,delay,/pdf/images/products/function_icons/delay.jpg,/products/function_icons/delay.jpg,Delay
eco,eco,/pdf/images/products/function_icons/eco.jpg,/products/function_icons/eco.jpg,Eco
eco_convection,eco_convection,/pdf/images/products/function_icons/no image.jpg,/products/function_icons/no image.jpg,Eco Convection
eco_fan_forced,eco_fan_forced,/pdf/images/products/function_icons/eco fan forced.jpg,/products/function_icons/eco fan forced.jpg,Eco Fan Forced
eco_pyro,eco_pyro,/pdf/images/products/function_icons/no image.jpg,/products/function_icons/no image.jpg,Eco Pyro
eco_pyrolytic,eco_pyrolytic,/pdf/images/products/function_icons/eco pyrolytic.jpg,/products/function_icons/eco pyrolytic.jpg,Eco Pyrolytic
enersave,enersave,/pdf/images/products/function_icons/enersave.jpg,/products/function_icons/enersave.jpg,Enersave
fan_assisted,fan_assisted,/pdf/images/products/function_icons/fan assisted.jpg,/products/function_icons/fan assisted.jpg,Fan Assisted
