id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,noise,defrost,lighting,nb_drawers,nb_shelves,accessories,star_rating,nb_of_drawers,gross_capacity,energy_consumption,features
60,FAB10HLR,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hlr,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
61,FAB10HRNE,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hrne,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
62,FAB10HRNE-1,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hrne-1,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
63,FAB10HRP,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hrp,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
58,FAB10HLNE,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hlne,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
59,FAB10HLP,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hlp,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
280,FAB5RRA,FabRefrigeration,50's Style Retro Refrigerator,,404mmW x 730mmH x 520mmD (560mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab5rra,"","","",0.0,"",n/a,LED,n/a,2 x adjustable wire shelves,n/a,n/a,n/a,Refrigerator: 42L,"","iconic design
vibrant colours
perfect blend of art and functionality"
64,FAB10HRP-1,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hrp-1,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
65,FAB10HRR,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hrr,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
66,FAB10HRR-1,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10hrr-1,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
